metric	value
label	AlphaGenome
n_variants	8
spearman_rho	-0.6586944440522925
boot_rho_median	-0.6296296296296297
boot_ci_low_2p5	-0.9813067629253164
boot_ci_high_97p5	0.10256410256410257
boot_n_iters_defined	9999
boot_n_iters_total	10000
boot_seed	20260913
