metric	value
label	AlphaGenome-RuleB
n_variants	8
spearman_rho	-0.28743030285918214
boot_rho_median	-0.29113924050632917
boot_ci_low_2p5	-0.8462512171372932
boot_ci_high_97p5	0.605263157894737
boot_n_iters_defined	9999
boot_n_iters_total	10000
boot_seed	20260913
